[Main]
Experiment = "RvsT"
Header length = 56    
Date = "20201105 15:54:11"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = TRUE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Automatic"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
5.259068551E+3	309.922400000E+0	10.000000000E+0	6.901219267E-9	70.750429476E-12	1.449019313E+9	14.855163232E+6	60.734167473E-3	17.690969851E-3	40.455963720E-3	7.039963034E-3	8.800498162E+6	2.563455698E+6	5.862147275E+6	1.020104240E+6
5.291768586E+3	310.890000000E+0	10.000000000E+0	7.476832567E-9	52.161683208E-12	1.337464750E+9	9.330744265E+6	65.579122523E-3	56.717404756E-3	30.484266647E-3	19.944175077E-3	8.770976471E+6	7.585752958E+6	4.077163207E+6	2.667463113E+6
5.324287865E+3	311.896100000E+0	10.000000000E+0	8.042082667E-9	59.314319942E-12	1.243458991E+9	9.171122394E+6	62.271696763E-3	67.148305687E-3	31.412088346E-3	32.924562410E-3	7.743230124E+6	8.349616445E+6	3.905964369E+6	4.094034316E+6
5.357657073E+3	312.910700000E+0	10.000000000E+0	8.831095467E-9	52.473651126E-12	1.132362348E+9	6.728404990E+6	63.636634910E-3	74.034981031E-3	34.198153198E-3	31.784145721E-3	7.205972934E+6	8.383442497E+6	3.872470106E+6	3.599116988E+6
5.392263551E+3	313.923600000E+0	10.000000000E+0	9.585618667E-9	77.399837682E-12	1.043229482E+9	8.423639142E+6	55.484833477E-3	63.987025277E-3	32.103153880E-3	36.982549016E-3	5.788341411E+6	6.675315126E+6	3.349095661E+6	3.858128547E+6
5.426197096E+3	314.913500000E+0	10.000000000E+0	10.356787667E-9	48.022817040E-12	965.550354207E+6	4.477107139E+6	51.623594320E-3	57.711197812E-3	28.191752965E-3	42.100850059E-3	4.984517978E+6	5.572306749E+6	2.722055706E+6	4.065049069E+6
5.460166314E+3	315.908400000E+0	10.000000000E+0	11.254319667E-9	39.907160146E-12	888.547712894E+6	3.150738288E+6	59.070536213E-3	62.281231274E-3	32.405192357E-3	38.709162731E-3	5.248698985E+6	5.533984560E+6	2.879355955E+6	3.439493801E+6
5.494503322E+3	316.916600000E+0	10.000000000E+0	12.153964000E-9	43.601611375E-12	822.776832316E+6	2.951662165E+6	702.463983460E-3	58.684270102E-3	273.286748234E-3	43.864811415E-3	57.797109113E+6	4.828405786E+6	22.485400503E+6	3.609095059E+6
5.528394169E+3	317.892500000E+0	10.000000000E+0	13.104580667E-9	68.825589063E-12	763.091948866E+6	4.007778213E+6	541.609260460E-3	60.412994788E-3	330.091062032E-3	40.881506426E-3	41.329766609E+6	4.610066993E+6	25.188983183E+6	3.119634841E+6
5.562812908E+3	318.889800000E+0	10.000000000E+0	14.230789667E-9	63.134495925E-12	702.701693598E+6	3.117516192E+6	603.348186340E-3	38.782087810E-3	364.151731295E-3	35.473930749E-3	42.397379237E+6	2.725223879E+6	25.589003831E+6	2.492759122E+6
5.596521031E+3	319.892900000E+0	10.000000000E+0	15.419117000E-9	48.486882915E-12	648.545568465E+6	2.039413349E+6	591.522983543E-3	49.503258023E-3	403.361342944E-3	33.612975510E-3	38.362960962E+6	3.210511862E+6	26.159821146E+6	2.179954631E+6
5.631309748E+3	320.915100000E+0	10.000000000E+0	16.751190333E-9	81.292860716E-12	596.972501715E+6	2.897083817E+6	564.996458307E-3	55.786878197E-3	391.835317879E-3	39.525276248E-3	33.728734918E+6	3.330323224E+6	23.391490997E+6	2.359550304E+6
5.665716902E+3	321.917400000E+0	10.000000000E+0	18.175508667E-9	48.601440147E-12	550.190929090E+6	1.471214479E+6	551.951501330E-3	404.543103987E-3	371.235149381E-3	257.857831523E-3	30.367870933E+6	22.257594624E+6	20.425021175E+6	14.187103990E+6
5.699400367E+3	322.907800000E+0	10.000000000E+0	19.631522333E-9	74.943396189E-12	509.384846993E+6	1.944578202E+6	581.495853537E-3	485.197396303E-3	360.695613015E-3	280.581413271E-3	29.620517638E+6	24.715220148E+6	18.373287965E+6	14.292392027E+6
5.932258322E+3	323.995200000E+0	10.000000000E+0	23.819431667E-9	36.567796468E-12	419.825298099E+6	644.519410359E+3	668.817335351E-3	616.585113970E-3	345.770645728E-3	300.692823415E-3	28.078643719E+6	25.885802928E+6	14.516326442E+6	12.623845423E+6
5.973480267E+3	325.087500000E+0	10.000000000E+0	22.885228000E-9	52.742212525E-12	436.963092524E+6	1.007042634E+6	647.579251823E-3	569.101577750E-3	386.130290416E-3	318.684821600E-3	28.296823253E+6	24.867638537E+6	16.872468582E+6	13.925350519E+6
5.992087953E+3	325.899500000E+0	10.000000000E+0	24.530817000E-9	58.385933423E-12	407.650507523E+6	970.251231023E+3	687.139425621E-3	647.581556207E-3	346.174567097E-3	310.088805781E-3	28.011273559E+6	26.398695005E+6	14.111823797E+6	12.640785905E+6
6.024373921E+3	326.950600000E+0	10.000000000E+0	26.850257333E-9	50.791998483E-12	372.435909118E+6	704.528224667E+3	692.941688594E-3	688.860862817E-3	367.471044424E-3	326.783362714E-3	25.807636776E+6	25.655652170E+6	13.685941250E+6	12.170585878E+6
6.056584833E+3	327.781700000E+0	10.000000000E+0	29.049829000E-9	45.061477343E-12	344.236105486E+6	533.971730713E+3	682.253488233E-3	739.191714073E-3	347.299784568E-3	337.184721451E-3	23.485628374E+6	25.445647686E+6	11.955312528E+6	11.607115534E+6
6.228611989E+3	329.525500000E+0	10.000000000E+0	23.393966000E-9	102.012775623E-12	427.460653743E+6	1.864004067E+6	669.559356595E-3	628.885167113E-3	344.775212402E-3	306.178257531E-3	28.621028029E+6	26.882366466E+6	14.737783769E+6	13.087915813E+6
6.276490434E+3	329.851000000E+0	10.000000000E+0	36.861797667E-9	55.794166837E-12	271.283568165E+6	410.615911875E+3	686.365422753E-3	832.693565623E-3	382.252639790E-3	360.370161146E-3	18.619966095E+6	22.589608167E+6	10.369886006E+6	9.776250318E+6
6.319403920E+3	331.038900000E+0	10.000000000E+0	35.902393000E-9	75.386282213E-12	278.532965755E+6	584.851398679E+3	2.743809603E+0	845.736920644E-3	111.567729717E-3	362.168213176E-3	76.424142610E+6	23.556561276E+6	3.107529064E+6	10.087578652E+6
6.335363158E+3	331.894000000E+0	10.000000000E+0	38.366388000E-9	86.808374235E-12	260.644812329E+6	589.738924888E+3	2.753653773E+0	794.878047414E-3	104.712916276E-3	337.791923202E-3	71.772557088E+6	20.718083949E+6	2.729287841E+6	8.804371243E+6
6.365050529E+3	332.787100000E+0	10.000000000E+0	42.141536000E-9	73.253887344E-12	237.295574608E+6	412.486704083E+3	2.768809849E+0	812.712804203E-3	96.352721270E-3	316.441484758E-3	65.702632418E+6	19.285315187E+6	2.286407436E+6	7.509016396E+6
6.545585793E+3	334.541700000E+0	10.000000000E+0	32.921310333E-9	169.194560390E-12	303.754616653E+6	1.561105202E+6	2.725784997E+0	828.428988367E-3	118.655436057E-3	360.081645950E-3	82.796977684E+6	25.163912979E+6	3.604213649E+6	10.937646233E+6
6.590058661E+3	334.797300000E+0	10.000000000E+0	51.708370667E-9	99.369639918E-12	193.392285834E+6	371.648179174E+3	2.800354764E+0	788.162290160E-3	77.120035904E-3	336.043271642E-3	54.156700889E+6	15.242450690E+6	1.491442003E+6	6.498817644E+6
6.632495622E+3	336.060700000E+0	10.000000000E+0	52.097684333E-9	122.660344790E-12	191.947111047E+6	451.926014058E+3	2.805082218E+0	799.855319167E-3	76.681261095E-3	337.916766682E-3	53.842742806E+6	15.352991777E+6	1.471874654E+6	6.486214714E+6
6.858344915E+3	336.928800000E+0	10.000000000E+0	59.003243333E-9	162.764001195E-12	169.482208690E+6	467.526882580E+3	2.821478146E+0	843.577947277E-3	66.311068172E-3	337.134492860E-3	47.819034801E+6	14.297145371E+6	1.123854629E+6	5.713829848E+6
6.900885400E+3	338.143500000E+0	10.000000000E+0	60.896516667E-9	143.539943434E-12	164.213005068E+6	387.068534437E+3	2.829249544E+0	799.153322153E-3	64.128918774E-3	360.844204335E-3	46.459956976E+6	13.123136854E+6	1.053080246E+6	5.925531116E+6
7.092102890E+3	339.620400000E+0	10.000000000E+0	48.232650667E-9	257.725067986E-12	207.328435443E+6	1.107833270E+6	2.790981773E+0	796.917745230E-3	82.706607746E-3	343.365633649E-3	57.864988428E+6	16.522370930E+6	1.714743158E+6	7.118945961E+6
7.137574883E+3	339.880700000E+0	10.000000000E+0	75.753269667E-9	122.914102232E-12	132.007503359E+6	214.189880314E+3	2.859197200E+0	806.602365237E-3	49.479700225E-3	370.889548488E-3	37.743548394E+6	10.647756444E+6	653.169169368E+3	4.896020332E+6
7.181495716E+3	340.830100000E+0	10.000000000E+0	75.965223000E-9	122.135186722E-12	131.639184420E+6	211.646536850E+3	2.865126504E+0	809.674949753E-3	48.859577499E-3	371.595296340E-3	37.716291629E+6	10.658495003E+6	643.183493301E+3	4.891650174E+6
7.365513511E+3	342.471700000E+0	10.000000000E+0	58.321306333E-9	341.103741207E-12	171.463923370E+6	1.002840804E+6	2.822654044E+0	850.863048490E-3	66.741759330E-3	339.269167369E-3	48.398333670E+6	14.589231654E+6	1.144380391E+6	5.817242252E+6
7.406513138E+3	342.809900000E+0	10.000000000E+0	89.621943000E-9	178.984495093E-12	111.579817010E+6	222.836690899E+3	2.883727465E+0	804.556502767E-3	39.376668119E-3	371.569174143E-3	32.176578285E+6	8.977226735E+6	439.364142317E+3	4.145962046E+6
7.561433576E+3	344.559000000E+0	10.000000000E+0	72.442133333E-9	351.887237467E-12	138.041213585E+6	670.534384753E+3	2.859772547E+0	800.950368263E-3	51.399881523E-3	369.729290176E-3	39.476647292E+6	11.056416086E+6	709.530202360E+3	5.103787991E+6
7.606215983E+3	344.785700000E+0	10.000000000E+0	109.541273333E-9	126.220040305E-12	91.289791470E+6	105.189585699E+3	2.911011362E+0	793.439172033E-3	30.136747017E-3	401.927340535E-3	26.574562024E+6	7.243289656E+6	275.117735081E+3	3.669186310E+6
7.810504345E+3	345.794200000E+0	10.000000000E+0	114.036996667E-9	211.174840918E-12	87.690839748E+6	162.386766356E+3	2.917628078E+0	816.362506433E-3	27.972404562E-3	408.230268487E-3	25.584925626E+6	7.158751373E+6	245.292364578E+3	3.579805505E+6
7.995517235E+3	347.341600000E+0	10.000000000E+0	86.568529000E-9	449.635864568E-12	115.515420159E+6	599.985657770E+3	2.884881403E+0	801.201244933E-3	40.731940421E-3	374.851717033E-3	33.324828742E+6	9.255109844E+6	470.516721162E+3	4.330115359E+6
8.039267953E+3	347.740100000E+0	10.000000000E+0	132.409453333E-9	169.131354244E-12	75.523308557E+6	96.468636731E+3	2.934510280E+0	785.192060733E-3	22.767356581E-3	417.832170649E-3	22.162392532E+6	5.930030228E+6	171.946609608E+3	3.155606795E+6
8.180956988E+3	349.373200000E+0	10.000000000E+0	105.731380000E-9	509.849517623E-12	94.579300866E+6	456.072841608E+3	2.913707993E+0	794.464438633E-3	30.778077525E-3	402.161397582E-3	27.557646494E+6	7.513989117E+6	291.096905427E+3	3.803614382E+6
8.225003608E+3	349.756500000E+0	10.000000000E+0	156.284023333E-9	118.209138696E-12	63.986067077E+6	48.397383919E+3	2.951864796E+0	652.145666600E-3	17.934092708E-3	400.787864082E-3	18.887821882E+6	4.172823637E+6	114.753205899E+3	2.564483915E+6
8.360261162E+3	351.485100000E+0	10.000000000E+0	123.719313333E-9	601.863312317E-12	80.828124006E+6	393.208474341E+3	2.931371200E+0	773.560769267E-3	24.889157923E-3	417.750168820E-3	23.693723486E+6	6.252546578E+6	201.174394299E+3	3.376596245E+6
8.404741971E+3	351.778600000E+0	10.000000000E+0	181.319783333E-9	107.173748984E-12	55.151179955E+6	32.598531765E+3	2.965642024E+0	718.057155500E-3	13.093858166E-3	418.523780594E-3	16.355865697E+6	3.960169940E+6	72.214172803E+3	2.308208034E+6
8.551919385E+3	352.661100000E+0	10.000000000E+0	194.070153333E-9	134.378540809E-12	51.527758536E+6	35.678979401E+3	2.973103514E+0	749.796481933E-3	12.876180070E-3	425.813436727E-3	15.319735995E+6	3.863533207E+6	66.348069749E+3	2.194121195E+6
8.741468557E+3	353.836400000E+0	10.000000000E+0	200.051160000E-9	277.061034730E-12	49.987213271E+6	69.229836168E+3	2.976557502E+0	763.887040833E-3	11.108395650E-3	428.890868982E-3	14.878981468E+6	3.818458442E+6	55.527774247E+3	2.143905934E+6
8.882605773E+3	354.788300000E+0	10.000000000E+0	222.363530000E-9	189.482296780E-12	44.971403359E+6	38.321413579E+3	2.984736701E+0	1.294441091E+0	10.494562274E-3	370.904761465E-3	13.422779810E+6	5.821283245E+6	47.195519309E+3	1.668010764E+6
9.062603855E+3	355.751200000E+0	10.000000000E+0	230.817780000E-9	269.466605186E-12	43.324218784E+6	50.578556635E+3	2.986991943E+0	1.467653843E+0	9.817412923E-3	4.721564045E-3	12.940909246E+6	6.358495621E+6	42.533174537E+3	20.455807370E+3
9.158964480E+3	357.292800000E+0	10.000000000E+0	199.453636667E-9	763.211592880E-12	50.136964997E+6	191.849662692E+3	2.980409362E+0	1.465139944E+0	12.090415405E-3	5.728545118E-3	14.942867984E+6	7.345767007E+6	60.617673393E+3	28.721186605E+3
9.199716919E+3	357.697000000E+0	10.000000000E+0	274.217553333E-9	114.841094811E-12	36.467395608E+6	15.272383498E+3	2.999105196E+0	1.472202908E+0	7.666885511E-3	3.668612393E-3	10.936955564E+6	5.368740586E+6	27.959134701E+3	13.378473947E+3
9.279924605E+3	359.449800000E+0	10.000000000E+0	241.464123333E-9	883.835781940E-12	41.414019863E+6	151.588534660E+3	2.994927290E+0	1.470959667E+0	9.110096839E-3	4.234384773E-3	12.403197829E+6	6.091835287E+6	37.728573144E+3	17.536289510E+3
9.320639079E+3	359.627000000E+0	10.000000000E+0	320.441156667E-9	78.869830268E-12	31.206977606E+6	7.680939154E+3	3.008524093E+0	1.475542716E+0	5.957371069E-3	2.955931987E-3	9.388694400E+6	4.604722848E+6	18.591154554E+3	9.224570333E+3
9.419845775E+3	361.437600000E+0	10.000000000E+0	263.456530000E-9	1.089936371E-9	37.956925949E+6	157.030209659E+3	3.000257994E+0	1.473277108E+0	7.878739924E-3	3.705518503E-3	11.388057049E+6	5.592107009E+6	29.905274786E+3	14.065009144E+3
9.459375805E+3	361.785700000E+0	10.000000000E+0	356.771116667E-9	148.105219083E-12	28.029174821E+6	11.635659064E+3	3.013425201E+0	1.477156620E+0	5.015487216E-3	2.392790673E-3	8.446382177E+6	4.140348115E+6	14.057996799E+3	6.706794808E+3
9.504995917E+3	363.168700000E+0	10.000000000E+0	344.859813333E-9	614.879293864E-12	28.997289952E+6	51.701684221E+3	3.014591067E+0	1.477770954E+0	5.245133203E-3	2.519200188E-3	8.741497125E+6	4.285135285E+6	15.209464833E+3	7.304997831E+3
9.514878824E+3	363.912300000E+0	10.000000000E+0	359.190060000E-9	724.408255346E-12	27.840414069E+6	56.148062071E+3	3.015909006E+0	1.478264397E+0	4.913680972E-3	2.331142083E-3	8.396415552E+6	4.115549292E+6	13.679891286E+3	6.489996086E+3
9.536172750E+3	364.915100000E+0	10.000000000E+0	389.361230000E-9	621.376531498E-12	25.683091252E+6	40.987311860E+3	3.019137857E+0	1.479386570E+0	4.315853443E-3	2.056612274E-3	7.754079308E+6	3.799522027E+6	11.084445781E+3	5.282016071E+3
9.565432854E+3	365.906800000E+0	10.000000000E+0	420.594033333E-9	490.000670185E-12	23.775896012E+6	27.699406214E+3	3.021620061E+0	1.480276385E+0	3.942638382E-3	1.981287237E-3	7.184172435E+6	3.519489741E+6	9.373976020E+3	4.710687931E+3
9.595864605E+3	366.904100000E+0	10.000000000E+0	450.367116667E-9	474.000944334E-12	22.204107782E+6	23.369308432E+3	3.024084545E+0	1.481202350E+0	3.578251884E-3	1.653317776E-3	6.714709918E+6	3.288877662E+6	7.945189051E+3	3.671044609E+3
9.627464890E+3	367.913100000E+0	10.000000000E+0	480.928746667E-9	501.067878761E-12	20.793100993E+6	21.663822510E+3	3.026785953E+0	1.481549792E+0	3.211013042E-3	1.466510481E-3	6.293626601E+6	3.080601445E+6	6.676691846E+3	3.049330054E+3
9.657956995E+3	368.877400000E+0	10.000000000E+0	513.005136667E-9	497.085919503E-12	19.492982205E+6	18.888089593E+3	3.028705876E+0	1.482104218E+0	2.852639303E-3	1.273788096E-3	5.903850974E+6	2.889063115E+6	5.560644716E+3	2.482992869E+3
9.689552497E+3	369.868000000E+0	10.000000000E+0	548.316660000E-9	564.005934549E-12	18.237636624E+6	18.759479765E+3	3.030980251E+0	1.482744437E+0	2.642931824E-3	1.111941036E-3	5.527791643E+6	2.704175425E+6	4.820083023E+3	2.027917655E+3
9.720981403E+3	370.889000000E+0	10.000000000E+0	586.249080000E-9	633.106049514E-12	17.057596065E+6	18.420953870E+3	3.033376811E+0	1.483277677E+0	2.244802331E-3	988.057788047E-6	5.174211635E+6	2.530115146E+6	3.829093140E+3	1.685389064E+3
9.752440341E+3	371.904500000E+0	10.000000000E+0	626.479676667E-9	666.846054552E-12	15.962209745E+6	16.990713325E+3	3.035247229E+0	1.483761159E+0	2.069602297E-3	935.723389177E-6	4.844925289E+6	2.368410683E+6	3.303542595E+3	1.493621300E+3
9.784150196E+3	372.891900000E+0	10.000000000E+0	669.435283333E-9	703.529180378E-12	14.937963757E+6	15.698744390E+3	3.036819505E+0	1.484022930E+0	1.772633642E-3	722.672329268E-6	4.536389970E+6	2.216828074E+6	2.647953710E+3	1.079525306E+3
9.815750480E+3	373.893000000E+0	10.000000000E+0	715.399860000E-9	716.103211883E-12	13.978196753E+6	13.991939544E+3	3.038695004E+0	1.484224028E+0	1.602367086E-3	719.870075071E-6	4.247547664E+6	2.074677549E+6	2.239820240E+3	1.006248555E+3
9.847468843E+3	374.894700000E+0	10.000000000E+0	763.179486667E-9	760.586541238E-12	13.103077552E+6	13.058559106E+3	3.040233381E+0	1.484393658E+0	1.534870345E-3	591.328683192E-6	3.983641377E+6	1.945012522E+6	2.011152516E+3	774.822559468E+0
9.879032902E+3	375.879100000E+0	10.000000000E+0	813.722933333E-9	791.482240781E-12	12.289195241E+6	11.953306695E+3	3.041451204E+0	1.484580656E+0	1.323094584E-3	570.974680299E-6	3.737698766E+6	1.824430153E+6	1.625976766E+3	701.681932399E+0
9.910620467E+3	376.881500000E+0	10.000000000E+0	866.544336667E-9	849.862670238E-12	11.540090422E+6	11.317934520E+3	3.042816950E+0	1.484597070E+0	1.087355583E-3	481.018681955E-6	3.511438275E+6	1.713238443E+6	1.254818175E+3	555.099908454E+0
9.943200513E+3	377.909100000E+0	10.000000000E+0	924.136436667E-9	920.923337437E-12	10.820913020E+6	10.783290148E+3	3.043844023E+0	1.484595777E+0	975.005573851E-6	404.163393385E-6	3.293717142E+6	1.606468177E+6	1.055045051E+3	437.341692579E+0
9.976006182E+3	378.915100000E+0	10.000000000E+0	986.786396667E-9	956.761932513E-12	10.133905406E+6	9.825566053E+3	3.044699126E+0	1.484468784E+0	878.822517206E-6	369.059836440E-6	3.085469293E+6	1.504346624E+6	890.590425826E+0	374.001747173E+0
10.008864900E+3	379.897600000E+0	10.000000000E+0	1.050971267E-6	955.002254315E-12	9.515007990E+6	8.646148918E+3	3.045369182E+0	1.484365233E+0	800.147159639E-6	381.988549864E-6	2.897671210E+6	1.412374705E+6	761.340661745E+0	363.462410419E+0
10.041636734E+3	380.910000000E+0	10.000000000E+0	1.118928167E-6	1.078235119E-9	8.937124203E+6	8.612099922E+3	3.046002021E+0	1.484183050E+0	658.837800268E-6	276.133584976E-6	2.722249838E+6	1.326432826E+6	588.811525078E+0	246.784014562E+0
10.074286823E+3	381.890300000E+0	10.000000000E+0	1.190336533E-6	1.085652759E-9	8.400985536E+6	7.662163488E+3	3.046245991E+0	1.483937341E+0	603.813089065E-6	264.674865314E-6	2.559146851E+6	1.246653614E+6	507.262502794E+0	222.352971536E+0
10.105949081E+3	382.905200000E+0	10.000000000E+0	1.263989567E-6	1.183825788E-9	7.911457708E+6	7.409703291E+3	3.046582625E+0	1.483696898E+0	541.064721195E-6	280.746462850E-6	2.410290959E+6	1.173820526E+6	428.061065901E+0	222.111376750E+0
10.138744307E+3	383.896400000E+0	10.000000000E+0	1.344428800E-6	1.224590668E-9	7.438103081E+6	6.775094091E+3	3.046880631E+0	1.483534187E+0	460.224591277E-6	243.101055657E-6	2.266301221E+6	1.103468021E+6	342.319795051E+0	180.821071117E+0
10.171650585E+3	384.898500000E+0	10.000000000E+0	1.429755667E-6	1.319420728E-9	6.994202040E+6	6.454456074E+3	3.046678918E+0	1.483131190E+0	426.524451335E-6	246.202507627E-6	2.130908790E+6	1.037331919E+6	298.319818749E+0	172.199008101E+0
10.204347815E+3	385.900300000E+0	10.000000000E+0	1.518263633E-6	1.360501314E-9	6.586471401E+6	5.902073132E+3	3.046683848E+0	1.482842864E+0	400.872596215E-6	212.353314541E-6	2.006689603E+6	976.670211359E+3	264.033589038E+0	139.865903311E+0
10.236101130E+3	386.898000000E+0	10.000000000E+0	1.610797867E-6	1.485735757E-9	6.208103578E+6	5.726107330E+3	3.046897079E+0	1.482469869E+0	333.439692029E-6	251.823038418E-6	1.891545266E+6	920.332649849E+3	207.002814524E+0	156.334350591E+0
10.267769517E+3	387.906400000E+0	10.000000000E+0	1.710937967E-6	1.603918875E-9	5.844747264E+6	5.479158590E+3	3.046967684E+0	1.482204988E+0	365.145780615E-6	227.214659228E-6	1.780875604E+6	866.311354869E+3	213.418480231E+0	132.801225793E+0
