[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201201 11:47:08"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Manual"
GPIB = "GPIB0::9::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 10.000000
Auto-range = 1
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
1.907023763E+3	309.965500000E+0	1.000000000E-9	563.539394202E-3	279.036681037E-3	2.191015317E+0	398.181953465E-3	292.533656954E-3	1.853361596E-3	563.539394202E+6	279.036681037E+6	2.191015317E+9	398.181953465E+6	292.533656954E+6	1.853361596E+6
2.090589242E+3	310.966000000E+0	1.000000000E-9	514.097144178E-3	254.846275806E-3	2.006981650E+0	390.230706386E-3	285.538715389E-3	1.562719213E-3	514.097144178E+6	254.846275806E+6	2.006981650E+9	390.230706386E+6	285.538715389E+6	1.562719213E+6
2.274352340E+3	311.979600000E+0	1.000000000E-9	468.351691780E-3	231.193361765E-3	1.837131583E+0	380.168847847E-3	279.174017433E-3	1.937586541E-3	468.351691780E+6	231.193361765E+6	1.837131583E+9	380.168847847E+6	279.174017433E+6	1.937586541E+6
2.458113574E+3	312.972000000E+0	1.000000000E-9	417.861483393E-3	227.811116962E-3	1.685334083E+0	376.376509112E-3	265.049968753E-3	1.679707430E-3	417.861483393E+6	227.811116962E+6	1.685334083E+9	376.376509112E+6	265.049968753E+6	1.679707430E+6
2.641900650E+3	313.954200000E+0	1.000000000E-9	405.432013558E-3	178.123603681E-3	1.544857950E+0	368.370225722E-3	261.146395478E-3	1.957638056E-3	405.432013558E+6	178.123603681E+6	1.544857950E+9	368.370225722E+6	261.146395478E+6	1.957638056E+6
2.825547216E+3	314.959300000E+0	1.000000000E-9	360.167332690E-3	176.602175795E-3	1.417443250E+0	354.684157028E-3	253.920562368E-3	1.301003473E-3	360.167332690E+6	176.602175795E+6	1.417443250E+9	354.684157028E+6	253.920562368E+6	1.301003473E+6
3.009189032E+3	315.966300000E+0	1.000000000E-9	330.291740253E-3	162.280000460E-3	1.301567433E+0	348.995811643E-3	243.873491588E-3	1.295290715E-3	330.291740253E+6	162.280000460E+6	1.301567433E+9	348.995811643E+6	243.873491588E+6	1.295290715E+6
3.192858506E+3	316.951600000E+0	1.000000000E-9	303.059785594E-3	149.612199255E-3	1.195159983E+0	336.927771336E-3	234.584869066E-3	1.032537464E-3	303.059785594E+6	149.612199255E+6	1.195159983E+9	336.927771336E+6	234.584869066E+6	1.032537464E+6
3.376581536E+3	317.948600000E+0	1.000000000E-9	276.447441000E-3	135.699450156E-3	1.098858267E+0	326.098932877E-3	226.202049751E-3	1.343800089E-3	276.447441000E+6	135.699450156E+6	1.098858267E+9	326.098932877E+6	226.202049751E+6	1.343800089E+6
3.560403394E+3	318.961600000E+0	1.000000000E-9	254.649846940E-3	126.346349106E-3	1.009242058E+0	316.867468960E-3	213.949334616E-3	1.278329383E-3	254.649846940E+6	126.346349106E+6	1.009242058E+9	316.867468960E+6	213.949334616E+6	1.278329383E+6
3.744082429E+3	319.956400000E+0	1.000000000E-9	232.424803118E-3	113.477779988E-3	926.744998333E-3	305.609828295E-3	202.554523602E-3	1.059008031E-3	232.424803118E+6	113.477779988E+6	926.744998333E+6	305.609828295E+6	202.554523602E+6	1.059008031E+6
3.927708213E+3	320.935400000E+0	1.000000000E-9	214.494033288E-3	104.782491861E-3	851.596196667E-3	295.390578991E-3	193.288647258E-3	963.598198898E-6	214.494033288E+6	104.782491861E+6	851.596196667E+6	295.390578991E+6	193.288647258E+6	963.598198898E+3
4.111361031E+3	321.962600000E+0	1.000000000E-9	186.258471927E-3	110.396392186E-3	783.418348333E-3	279.197039637E-3	183.367683923E-3	958.536144726E-6	186.258471927E+6	110.396392186E+6	783.418348333E+6	279.197039637E+6	183.367683923E+6	958.536144726E+3
4.295188261E+3	322.956600000E+0	1.000000000E-9	179.723569126E-3	89.042601174E-3	721.771950000E-3	270.432811952E-3	171.493419447E-3	916.446550153E-6	179.723569126E+6	89.042601174E+6	721.771950000E+6	270.432811952E+6	171.493419447E+6	916.446550153E+3
4.478803051E+3	323.955000000E+0	1.000000000E-9	165.904500313E-3	80.415448893E-3	664.795915000E-3	258.646663375E-3	161.039859058E-3	777.322205306E-6	165.904500313E+6	80.415448893E+6	664.795915000E+6	258.646663375E+6	161.039859058E+6	777.322205306E+3
4.662706963E+3	324.952000000E+0	1.000000000E-9	151.449252392E-3	73.393383334E-3	611.984136667E-3	245.548254826E-3	150.028035332E-3	984.710334490E-6	151.449252392E+6	73.393383334E+6	611.984136667E+6	245.548254826E+6	150.028035332E+6	984.710334490E+3
4.846288686E+3	325.949600000E+0	1.000000000E-9	140.848113870E-3	67.805944468E-3	564.508125000E-3	234.322297325E-3	140.080948499E-3	931.827380276E-6	140.848113870E+6	67.805944468E+6	564.508125000E+6	234.322297325E+6	140.080948499E+6	931.827380276E+3
5.030358435E+3	326.965900000E+0	1.000000000E-9	129.712760852E-3	62.011187870E-3	520.271446667E-3	221.390942536E-3	130.613143218E-3	857.970770850E-6	129.712760852E+6	62.011187870E+6	520.271446667E+6	221.390942536E+6	130.613143218E+6	857.970770850E+3
5.213977168E+3	327.948200000E+0	1.000000000E-9	119.349965507E-3	58.904456890E-3	479.529785000E-3	208.618205449E-3	120.335845592E-3	754.213697338E-6	119.349965507E+6	58.904456890E+6	479.529785000E+6	208.618205449E+6	120.335845592E+6	754.213697338E+3
5.397751091E+3	328.946000000E+0	1.000000000E-9	110.520894741E-3	54.996007711E-3	441.629138333E-3	196.812476387E-3	109.303057031E-3	689.950135638E-6	110.520894741E+6	54.996007711E+6	441.629138333E+6	196.812476387E+6	109.303057031E+6	689.950135638E+3
5.581540482E+3	329.957700000E+0	1.000000000E-9	101.330294581E-3	49.440009646E-3	407.651851667E-3	184.949192991E-3	100.696595834E-3	556.711359920E-6	101.330294581E+6	49.440009646E+6	407.651851667E+6	184.949192991E+6	100.696595834E+6	556.711359920E+3
5.765546926E+3	330.940000000E+0	1.000000000E-9	93.816442043E-3	45.100829060E-3	375.978426667E-3	173.308301545E-3	92.737353896E-3	555.421624399E-6	93.816442043E+6	45.100829060E+6	375.978426667E+6	173.308301545E+6	92.737353896E+6	555.421624399E+3
5.949186625E+3	331.941200000E+0	1.000000000E-9	86.452544657E-3	41.866984170E-3	347.407100000E-3	161.290536333E-3	83.766980590E-3	546.569671848E-6	86.452544657E+6	41.866984170E+6	347.407100000E+6	161.290536333E+6	83.766980590E+6	546.569671848E+3
6.132789260E+3	332.939400000E+0	1.000000000E-9	79.347330548E-3	38.047832660E-3	321.077321667E-3	149.250187112E-3	77.541205310E-3	354.012070919E-6	79.347330548E+6	38.047832660E+6	321.077321667E+6	149.250187112E+6	77.541205310E+6	354.012070919E+3
6.316387074E+3	333.918400000E+0	1.000000000E-9	74.366478587E-3	36.227240058E-3	296.221868333E-3	138.124050013E-3	70.234672966E-3	393.928761706E-6	74.366478587E+6	36.227240058E+6	296.221868333E+6	138.124050013E+6	70.234672966E+6	393.928761706E+3
6.500209337E+3	334.932700000E+0	1.000000000E-9	67.752449627E-3	32.341346213E-3	273.692071667E-3	126.528491892E-3	64.522039137E-3	346.582514847E-6	67.752449627E+6	32.341346213E+6	273.692071667E+6	126.528491892E+6	64.522039137E+6	346.582514847E+3
6.684053895E+3	335.926400000E+0	1.000000000E-9	63.282653038E-3	29.933873688E-3	253.220736667E-3	116.962280414E-3	57.857771517E-3	349.547302145E-6	63.282653038E+6	29.933873688E+6	253.220736667E+6	116.962280414E+6	57.857771517E+6	349.547302145E+3
6.867719022E+3	336.937800000E+0	1.000000000E-9	57.640027899E-3	27.900911180E-3	234.563646667E-3	108.391333990E-3	52.900817430E-3	315.010644228E-6	57.640027899E+6	27.900911180E+6	234.563646667E+6	108.391333990E+6	52.900817430E+6	315.010644228E+3
7.051193694E+3	337.910900000E+0	1.000000000E-9	54.243898868E-3	26.263338273E-3	217.135336667E-3	98.752763839E-3	47.302941724E-3	348.229796965E-6	54.243898868E+6	26.263338273E+6	217.135336667E+6	98.752763839E+6	47.302941724E+6	348.229796965E+3
7.234866370E+3	338.929400000E+0	1.000000000E-9	50.040963255E-3	23.882996512E-3	201.058693333E-3	90.887674630E-3	42.876456070E-3	398.910970305E-6	50.040963255E+6	23.882996512E+6	201.058693333E+6	90.887674630E+6	42.876456070E+6	398.910970305E+3
7.418540858E+3	339.916600000E+0	1.000000000E-9	45.182667823E-3	22.428569303E-3	186.120770000E-3	82.813363505E-3	38.872616226E-3	279.344157775E-6	45.182667823E+6	22.428569303E+6	186.120770000E+6	82.813363505E+6	38.872616226E+6	279.344157775E+3
7.602426280E+3	340.936400000E+0	1.000000000E-9	41.978287752E-3	20.459105367E-3	172.374633333E-3	74.739277955E-3	35.142027424E-3	287.181273843E-6	41.978287752E+6	20.459105367E+6	172.374633333E+6	74.739277955E+6	35.142027424E+6	287.181273843E+3
7.786013062E+3	341.940500000E+0	1.000000000E-9	37.814627986E-3	19.262215972E-3	160.094370000E-3	68.114394662E-3	31.934642743E-3	304.193427536E-6	37.814627986E+6	19.262215972E+6	160.094370000E+6	68.114394662E+6	31.934642743E+6	304.193427536E+3
7.969751688E+3	342.925700000E+0	1.000000000E-9	36.730868015E-3	17.603075040E-3	148.322220000E-3	61.929549093E-3	28.899769461E-3	288.942699844E-6	36.730868015E+6	17.603075040E+6	148.322220000E+6	61.929549093E+6	28.899769461E+6	288.942699844E+3
8.154439087E+3	343.959800000E+0	1.000000000E-9	33.434710681E-3	15.945964963E-3	137.593340000E-3	55.846801970E-3	25.358731258E-3	283.865947803E-6	33.434710681E+6	15.945964963E+6	137.593340000E+6	55.846801970E+6	25.358731258E+6	283.865947803E+3
8.338196851E+3	344.934900000E+0	1.000000000E-9	31.366151915E-3	14.869586282E-3	127.585576667E-3	50.517098848E-3	23.148761946E-3	247.528929924E-6	31.366151915E+6	14.869586282E+6	127.585576667E+6	50.517098848E+6	23.148761946E+6	247.528929924E+3
8.523062758E+3	345.985800000E+0	1.000000000E-9	28.874990660E-3	14.691998388E-3	118.735894667E-3	45.616957976E-3	21.033795232E-3	226.762451056E-6	28.874990660E+6	14.691998388E+6	118.735894667E+6	45.616957976E+6	21.033795232E+6	226.762451056E+3
8.707887084E+3	346.961900000E+0	1.000000000E-9	26.797078037E-3	13.008546547E-3	110.201156500E-3	40.860049327E-3	18.596363247E-3	180.010315659E-6	26.797078037E+6	13.008546547E+6	110.201156500E+6	40.860049327E+6	18.596363247E+6	180.010315659E+3
8.892792143E+3	347.966900000E+0	1.000000000E-9	25.088265659E-3	12.191946988E-3	102.684176667E-3	37.382925258E-3	16.672298680E-3	169.644977533E-6	25.088265659E+6	12.191946988E+6	102.684176667E+6	37.382925258E+6	16.672298680E+6	169.644977533E+3
9.077498728E+3	348.978000000E+0	1.000000000E-9	22.544798806E-3	11.145911318E-3	95.569067833E-3	33.066438376E-3	15.292021069E-3	233.685237603E-6	22.544798806E+6	11.145911318E+6	95.569067833E+6	33.066438376E+6	15.292021069E+6	233.685237603E+3
9.262175680E+3	349.944800000E+0	1.000000000E-9	21.700173698E-3	10.180624980E-3	88.784367000E-3	29.296962146E-3	14.392958692E-3	189.377847033E-6	21.700173698E+6	10.180624980E+6	88.784367000E+6	29.296962146E+6	14.392958692E+6	189.377847033E+3
9.447070287E+3	350.950400000E+0	1.000000000E-9	19.899152002E-3	9.478012377E-3	82.661665833E-3	26.633594085E-3	12.382394363E-3	157.932891272E-6	19.899152002E+6	9.478012377E+6	82.661665833E+6	26.633594085E+6	12.382394363E+6	157.932891272E+3
9.631979267E+3	351.971900000E+0	1.000000000E-9	18.893615547E-3	9.098574367E-3	77.100172833E-3	24.287904757E-3	11.176191384E-3	127.209088458E-6	18.893615547E+6	9.098574367E+6	77.100172833E+6	24.287904757E+6	11.176191384E+6	127.209088458E+3
9.816861713E+3	352.965900000E+0	1.000000000E-9	17.682473802E-3	8.260588625E-3	71.835381167E-3	21.361513277E-3	10.121480712E-3	180.461444223E-6	17.682473802E+6	8.260588625E+6	71.835381167E+6	21.361513277E+6	10.121480712E+6	180.461444223E+3
10.001608890E+3	353.963700000E+0	1.000000000E-9	16.465866838E-3	7.860456842E-3	66.910762167E-3	19.269065265E-3	9.263361660E-3	169.619322868E-6	16.465866838E+6	7.860456842E+6	66.910762167E+6	19.269065265E+6	9.263361660E+6	169.619322868E+3
10.186550746E+3	354.960200000E+0	1.000000000E-9	15.133350160E-3	7.116258552E-3	62.410499667E-3	17.408661717E-3	8.387827535E-3	180.156984348E-6	15.133350160E+6	7.116258552E+6	62.410499667E+6	17.408661717E+6	8.387827535E+6	180.156984348E+3
10.370503290E+3	355.932900000E+0	1.000000000E-9	13.712345963E-3	6.696023175E-3	58.066512667E-3	15.588827269E-3	7.388407900E-3	132.413892634E-6	13.712345963E+6	6.696023175E+6	58.066512667E+6	15.588827269E+6	7.388407900E+6	132.413892634E+3
10.555559101E+3	356.978700000E+0	1.000000000E-9	12.891619685E-3	6.100373987E-3	54.254037000E-3	13.928679799E-3	6.935347008E-3	121.259389321E-6	12.891619685E+6	6.100373987E+6	54.254037000E+6	13.928679799E+6	6.935347008E+6	121.259389321E+3
10.740372157E+3	357.960300000E+0	1.000000000E-9	12.034058890E-3	5.804037980E-3	50.646485333E-3	12.575951493E-3	6.042951551E-3	122.510566895E-6	12.034058890E+6	5.804037980E+6	50.646485333E+6	12.575951493E+6	6.042951551E+6	122.510566895E+3
10.925449943E+3	358.970400000E+0	1.000000000E-9	11.175562403E-3	5.360866028E-3	47.104841667E-3	11.201937709E-3	5.572233604E-3	99.967880508E-6	11.175562403E+6	5.360866028E+6	47.104841667E+6	11.201937709E+6	5.572233604E+6	99.967880508E+3
11.110309303E+3	359.954500000E+0	1.000000000E-9	10.501586623E-3	4.988960047E-3	44.069313333E-3	10.009082335E-3	4.922661154E-3	83.687445714E-6	10.501586623E+6	4.988960047E+6	44.069313333E+6	10.009082335E+6	4.922661154E+6	83.687445714E+3
11.295232322E+3	360.952400000E+0	1.000000000E-9	9.694471223E-3	4.661117942E-3	41.237028500E-3	9.122380703E-3	4.545644575E-3	105.074151663E-6	9.694471223E+6	4.661117942E+6	41.237028500E+6	9.122380703E+6	4.545644575E+6	105.074151663E+3
11.479917343E+3	361.957400000E+0	1.000000000E-9	9.013737288E-3	4.454760542E-3	38.446703333E-3	8.152918287E-3	3.980372668E-3	120.795116813E-6	9.013737288E+6	4.454760542E+6	38.446703333E+6	8.152918287E+6	3.980372668E+6	120.795116813E+3
11.663975941E+3	362.928500000E+0	1.000000000E-9	8.717290937E-3	4.233726158E-3	36.060002833E-3	7.232060303E-3	3.631381370E-3	98.770261149E-6	8.717290937E+6	4.233726158E+6	36.060002833E+6	7.232060303E+6	3.631381370E+6	98.770261149E+3
11.848844561E+3	363.923900000E+0	1.000000000E-9	8.064340507E-3	3.900341220E-3	33.671535833E-3	6.508699144E-3	3.283899758E-3	82.219633288E-6	8.064340507E+6	3.900341220E+6	33.671535833E+6	6.508699144E+6	3.283899758E+6	82.219633288E+3
12.033757423E+3	364.952100000E+0	1.000000000E-9	7.414450305E-3	3.643184648E-3	31.440914050E-3	5.834746632E-3	2.875885234E-3	101.043640185E-6	7.414450305E+6	3.643184648E+6	31.440914050E+6	5.834746632E+6	2.875885234E+6	101.043640185E+3
12.218511921E+3	365.948500000E+0	1.000000000E-9	6.989625482E-3	3.376540142E-3	29.456667667E-3	5.222311999E-3	2.531906409E-3	73.016315075E-6	6.989625482E+6	3.376540142E+6	29.456667667E+6	5.222311999E+6	2.531906409E+6	73.016315075E+3
12.403307787E+3	366.944800000E+0	1.000000000E-9	6.595515947E-3	3.187571513E-3	27.708782133E-3	4.735621254E-3	2.373354296E-3	72.590751814E-6	6.595515947E+6	3.187571513E+6	27.708782133E+6	4.735621254E+6	2.373354296E+6	72.590751814E+3
12.587957519E+3	367.929300000E+0	1.000000000E-9	6.078980653E-3	2.869450598E-3	25.947654400E-3	4.233155768E-3	2.051710674E-3	77.433682783E-6	6.078980653E+6	2.869450598E+6	25.947654400E+6	4.233155768E+6	2.051710674E+6	77.433682783E+3
12.772639978E+3	368.911400000E+0	1.000000000E-9	5.734031178E-3	2.793399838E-3	24.199646900E-3	3.799269840E-3	1.886390470E-3	104.177085557E-6	5.734031178E+6	2.793399838E+6	24.199646900E+6	3.799269840E+6	1.886390470E+6	104.177085557E+3
12.957355647E+3	369.924000000E+0	1.000000000E-9	5.422472012E-3	2.594511923E-3	22.743982482E-3	3.437777330E-3	1.675155775E-3	52.756822222E-6	5.422472012E+6	2.594511923E+6	22.743982482E+6	3.437777330E+6	1.675155775E+6	52.756822222E+3
13.143158965E+3	370.967300000E+0	1.000000000E-9	4.938043077E-3	2.449632442E-3	21.269850307E-3	3.005483277E-3	1.454966448E-3	81.914123754E-6	4.938043077E+6	2.449632442E+6	21.269850307E+6	3.005483277E+6	1.454966448E+6	81.914123754E+3
13.328294194E+3	371.929800000E+0	1.000000000E-9	4.679220725E-3	2.268848968E-3	20.050869617E-3	2.728500064E-3	1.242803444E-3	81.072977151E-6	4.679220725E+6	2.268848968E+6	20.050869617E+6	2.728500064E+6	1.242803444E+6	81.072977151E+3
13.513195122E+3	372.916400000E+0	1.000000000E-9	4.296316267E-3	2.089376561E-3	18.753853900E-3	2.535663793E-3	1.136166089E-3	79.493217097E-6	4.296316267E+6	2.089376561E+6	18.753853900E+6	2.535663793E+6	1.136166089E+6	79.493217097E+3
13.698211388E+3	373.955900000E+0	1.000000000E-9	4.149989502E-3	1.992360428E-3	17.615779983E-3	2.116500252E-3	989.928800209E-6	59.651195530E-6	4.149989502E+6	1.992360428E+6	17.615779983E+6	2.116500252E+6	989.928800209E+3	59.651195530E+3
13.884117326E+3	374.959000000E+0	1.000000000E-9	3.901492140E-3	1.879829297E-3	16.478000450E-3	1.810145103E-3	831.368761577E-6	66.351120951E-6	3.901492140E+6	1.879829297E+6	16.478000450E+6	1.810145103E+6	831.368761577E+3	66.351120951E+3
14.068995265E+3	375.928000000E+0	1.000000000E-9	3.591784797E-3	1.758647959E-3	15.507085917E-3	1.614205528E-3	741.823642607E-6	79.197855485E-6	3.591784797E+6	1.758647959E+6	15.507085917E+6	1.614205528E+6	741.823642607E+3	79.197855485E+3
14.255106525E+3	376.948700000E+0	1.000000000E-9	3.411974710E-3	1.700245591E-3	14.600449417E-3	1.448163411E-3	786.752770687E-6	69.116672339E-6	3.411974710E+6	1.700245591E+6	14.600449417E+6	1.448163411E+6	786.752770687E+3	69.116672339E+3
14.440092291E+3	377.917100000E+0	1.000000000E-9	3.229902092E-3	1.506125786E-3	13.742362000E-3	1.220509669E-3	687.667823360E-6	105.881223249E-6	3.229902092E+6	1.506125786E+6	13.742362000E+6	1.220509669E+6	687.667823360E+3	105.881223249E+3
14.625908156E+3	378.947400000E+0	1.000000000E-9	2.953094778E-3	1.513074632E-3	12.966950950E-3	1.103478101E-3	578.024282593E-6	61.826989135E-6	2.953094778E+6	1.513074632E+6	12.966950950E+6	1.103478101E+6	578.024282593E+3	61.826989135E+3
14.810931673E+3	379.915000000E+0	1.000000000E-9	2.799475301E-3	1.377927670E-3	12.174272700E-3	983.690312867E-6	531.942752363E-6	56.748884600E-6	2.799475301E+6	1.377927670E+6	12.174272700E+6	983.690312867E+3	531.942752363E+3	56.748884600E+3
14.995660221E+3	380.945900000E+0	1.000000000E-9	2.639508267E-3	1.256183318E-3	11.422832150E-3	845.956728038E-6	489.217414551E-6	68.723163975E-6	2.639508267E+6	1.256183318E+6	11.422832150E+6	845.956728038E+3	489.217414551E+3	68.723163975E+3
15.181495905E+3	381.962600000E+0	1.000000000E-9	2.502883383E-3	1.215496783E-3	10.768950800E-3	749.155824360E-6	476.871000475E-6	45.208117397E-6	2.502883383E+6	1.215496783E+6	10.768950800E+6	749.155824360E+3	476.871000475E+3	45.208117397E+3
15.367482443E+3	382.942900000E+0	1.000000000E-9	2.354682121E-3	1.090650957E-3	10.161716000E-3	691.285513794E-6	457.560823582E-6	53.515513939E-6	2.354682121E+6	1.090650957E+6	10.161716000E+6	691.285513794E+3	457.560823582E+3	53.515513939E+3
15.553218339E+3	383.949900000E+0	1.000000000E-9	2.252095993E-3	1.052618026E-3	9.526422000E-3	667.441468149E-6	407.723253424E-6	36.694123848E-6	2.252095993E+6	1.052618026E+6	9.526422000E+6	667.441468149E+3	407.723253424E+3	36.694123848E+3
15.739507214E+3	384.972000000E+0	1.000000000E-9	2.040742511E-3	1.021944635E-3	8.980867817E-3	760.025671735E-6	478.479747590E-6	51.783874125E-6	2.040742511E+6	1.021944635E+6	8.980867817E+6	760.025671735E+3	478.479747590E+3	51.783874125E+3
15.924412003E+3	385.949300000E+0	1.000000000E-9	1.956689357E-3	939.705798667E-6	8.502188317E-3	560.168113816E-6	398.949596501E-6	60.009239927E-6	1.956689357E+6	939.705798667E+3	8.502188317E+6	560.168113816E+3	398.949596501E+3	60.009239927E+3
16.110457116E+3	386.981100000E+0	1.000000000E-9	1.810374294E-3	866.220075167E-6	8.066536600E-3	571.150444450E-6	430.299565140E-6	45.945032999E-6	1.810374294E+6	866.220075167E+3	8.066536600E+6	571.150444450E+3	430.299565140E+3	45.945032999E+3
