[Main]
Experiment = "RvsT"
Header length = 62    
Date = "20201117 22:42:01"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+2
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 6.000000E+1
Output limit (V) = 20.000000
Auto-range = 0
Manual range (A) = 0.000001
Check output compliance = "Abort"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
2.549327409E+3	390.046900000E+0	1.000000000E-9	732.168533667E-6	1.802922292E-3	6.400758583E-3	301.021920341E-6	397.822097482E-6	1.625055007E-3	732.168533667E+3	1.802922292E+6	6.400758583E+6	301.021920341E+3	397.822097482E+3	1.625055007E+6
2.799287234E+3	389.088700000E+0	1.000000000E-9	838.406259500E-6	1.878505140E-3	6.782178000E-3	312.389734742E-6	343.644158765E-6	1.721515178E-3	838.406259500E+3	1.878505140E+6	6.782178000E+6	312.389734742E+3	343.644158765E+3	1.721515178E+6
3.051547547E+3	388.081900000E+0	1.000000000E-9	907.459068667E-6	1.993614677E-3	6.973557050E-3	349.754862411E-6	373.027590080E-6	1.399341096E-3	907.459068667E+3	1.993614677E+6	6.973557050E+6	349.754862411E+3	373.027590080E+3	1.399341096E+6
3.309824245E+3	387.096300000E+0	1.000000000E-9	963.864917333E-6	2.105612487E-3	7.315355817E-3	306.351989917E-6	373.902418167E-6	1.166108630E-3	963.864917333E+3	2.105612487E+6	7.315355817E+6	306.351989917E+3	373.902418167E+3	1.166108630E+6
3.567914774E+3	386.095800000E+0	1.000000000E-9	1.018768994E-3	2.253496781E-3	7.791201050E-3	369.287616094E-6	552.761398728E-6	1.320407148E-3	1.018768994E+6	2.253496781E+6	7.791201050E+6	369.287616094E+3	552.761398728E+3	1.320407148E+6
3.828262877E+3	385.060700000E+0	1.000000000E-9	1.105759913E-3	2.389914125E-3	8.473898867E-3	354.025868746E-6	434.963929334E-6	1.671254112E-3	1.105759913E+6	2.389914125E+6	8.473898867E+6	354.025868746E+3	434.963929334E+3	1.671254112E+6
4.084898863E+3	384.048200000E+0	1.000000000E-9	1.132912376E-3	2.546860144E-3	8.761553617E-3	443.111750605E-6	489.851316796E-6	1.097061238E-3	1.132912376E+6	2.546860144E+6	8.761553617E+6	443.111750605E+3	489.851316796E+3	1.097061238E+6
4.342730225E+3	383.095500000E+0	1.000000000E-9	1.196481984E-3	2.696553053E-3	9.254777450E-3	487.135441748E-6	494.927667605E-6	789.563554192E-6	1.196481984E+6	2.696553053E+6	9.254777450E+6	487.135441748E+3	494.927667605E+3	789.563554192E+3
4.599580010E+3	382.075800000E+0	1.000000000E-9	1.317800677E-3	2.814496092E-3	9.864999883E-3	436.789088442E-6	577.819977755E-6	1.047715658E-3	1.317800677E+6	2.814496092E+6	9.864999883E+6	436.789088442E+3	577.819977755E+3	1.047715658E+6
4.858249290E+3	381.052900000E+0	1.000000000E-9	1.173934745E-3	3.001582438E-3	10.390045017E-3	526.800679949E-6	708.571476815E-6	826.773527138E-6	1.173934745E+6	3.001582438E+6	10.390045017E+6	526.800679949E+3	708.571476815E+3	826.773527138E+3
5.117128109E+3	380.076000000E+0	1.000000000E-9	1.491335244E-3	3.247127069E-3	11.110595667E-3	562.142063050E-6	693.009220531E-6	885.583914352E-6	1.491335244E+6	3.247127069E+6	11.110595667E+6	562.142063050E+3	693.009220531E+3	885.583914352E+3
5.375120843E+3	379.077800000E+0	1.000000000E-9	1.356885267E-3	3.353093148E-3	11.682435167E-3	663.366017548E-6	841.506946541E-6	478.098482120E-6	1.356885267E+6	3.353093148E+6	11.682435167E+6	663.366017548E+3	841.506946541E+3	478.098482120E+3
5.633962599E+3	378.087600000E+0	1.000000000E-9	1.422599929E-3	3.583152788E-3	12.538738500E-3	729.064373441E-6	954.774444440E-6	739.719141859E-6	1.422599929E+6	3.583152788E+6	12.538738500E+6	729.064373441E+3	954.774444440E+3	739.719141859E+3
5.890936441E+3	377.102700000E+0	1.000000000E-9	1.786315341E-3	3.912511100E-3	13.220293167E-3	818.996828500E-6	1.088247586E-3	348.413393959E-6	1.786315341E+6	3.912511100E+6	13.220293167E+6	818.996828500E+3	1.088247586E+6	348.413393959E+3
6.152058303E+3	376.068700000E+0	1.000000000E-9	1.658030523E-3	4.026225524E-3	14.055009333E-3	960.477651002E-6	1.205981187E-3	513.367691719E-6	1.658030523E+6	4.026225524E+6	14.055009333E+6	960.477651002E+3	1.205981187E+6	513.367691719E+3
6.407245512E+3	375.065700000E+0	1.000000000E-9	2.037486473E-3	4.464186522E-3	15.024232333E-3	1.089569066E-3	1.372739730E-3	366.565821987E-6	2.037486473E+6	4.464186522E+6	15.024232333E+6	1.089569066E+6	1.372739730E+6	366.565821987E+3
6.669772503E+3	374.050700000E+0	1.000000000E-9	2.029571130E-3	4.164426970E-3	15.839414333E-3	1.269997271E-3	1.454065355E-3	694.907432418E-6	2.029571130E+6	4.164426970E+6	15.839414333E+6	1.269997271E+6	1.454065355E+6	694.907432418E+3
6.922416095E+3	373.052600000E+0	1.000000000E-9	2.293197290E-3	4.991185872E-3	17.039714167E-3	1.542249386E-3	1.750564275E-3	220.844768241E-6	2.293197290E+6	4.991185872E+6	17.039714167E+6	1.542249386E+6	1.750564275E+6	220.844768241E+3
7.182990037E+3	372.081600000E+0	1.000000000E-9	2.117918385E-3	5.121477835E-3	18.069910833E-3	1.598020083E-3	1.887121485E-3	752.960172407E-6	2.117918385E+6	5.121477835E+6	18.069910833E+6	1.598020083E+6	1.887121485E+6	752.960172407E+3
7.441706307E+3	371.097600000E+0	1.000000000E-9	2.579836078E-3	5.760287345E-3	19.288418167E-3	1.936172513E-3	2.289264538E-3	962.711564092E-6	2.579836078E+6	5.760287345E+6	19.288418167E+6	1.936172513E+6	2.289264538E+6	962.711564092E+3
7.701781978E+3	370.056400000E+0	1.000000000E-9	2.768368613E-3	6.066615271E-3	20.486092000E-3	2.212871080E-3	2.471657243E-3	1.314279300E-3	2.768368613E+6	6.066615271E+6	20.486092000E+6	2.212871080E+6	2.471657243E+6	1.314279300E+6
7.960581397E+3	369.068800000E+0	1.000000000E-9	3.020577663E-3	6.502417336E-3	21.759892833E-3	2.469072222E-3	2.686670206E-3	1.722697747E-3	3.020577663E+6	6.502417336E+6	21.759892833E+6	2.469072222E+6	2.686670206E+6	1.722697747E+6
8.218746589E+3	368.053800000E+0	1.000000000E-9	3.116354498E-3	6.927760070E-3	23.222620333E-3	2.703116108E-3	3.012558036E-3	1.994672477E-3	3.116354498E+6	6.927760070E+6	23.222620333E+6	2.703116108E+6	3.012558036E+6	1.994672477E+6
8.476395138E+3	367.071500000E+0	1.000000000E-9	3.435709292E-3	7.486201728E-3	24.882723833E-3	3.006166274E-3	3.456519883E-3	2.172044672E-3	3.435709292E+6	7.486201728E+6	24.882723833E+6	3.006166274E+6	3.456519883E+6	2.172044672E+6
8.735038361E+3	366.074700000E+0	1.000000000E-9	3.650708522E-3	7.910197126E-3	26.639848833E-3	3.333431239E-3	3.808952628E-3	2.222216224E-3	3.650708522E+6	7.910197126E+6	26.639848833E+6	3.333431239E+6	3.808952628E+6	2.222216224E+6
8.994826537E+3	365.068200000E+0	1.000000000E-9	3.819839997E-3	8.480002516E-3	28.318860833E-3	3.862119061E-3	4.121713634E-3	2.889542736E-3	3.819839997E+6	8.480002516E+6	28.318860833E+6	3.862119061E+6	4.121713634E+6	2.889542736E+6
9.252533593E+3	364.092500000E+0	1.000000000E-9	4.151322172E-3	9.038488017E-3	29.994073000E-3	4.214994437E-3	4.672519470E-3	3.694068516E-3	4.151322172E+6	9.038488017E+6	29.994073000E+6	4.214994437E+6	4.672519470E+6	3.694068516E+6
9.509030445E+3	363.071600000E+0	1.000000000E-9	4.511317593E-3	9.782784932E-3	32.325732500E-3	4.707516945E-3	5.092564854E-3	3.834576155E-3	4.511317593E+6	9.782784932E+6	32.325732500E+6	4.707516945E+6	5.092564854E+6	3.834576155E+6
9.767059399E+3	362.052400000E+0	1.000000000E-9	4.736480647E-3	10.088089530E-3	33.815208167E-3	5.169789996E-3	5.628249177E-3	5.685468848E-3	4.736480647E+6	10.088089530E+6	33.815208167E+6	5.169789996E+6	5.628249177E+6	5.685468848E+6
10.020297119E+3	361.045600000E+0	1.000000000E-9	4.371747815E-3	9.909634102E-3	36.578900000E-3	5.647001426E-3	6.253253035E-3	5.610945991E-3	4.371747815E+6	9.909634102E+6	36.578900000E+6	5.647001426E+6	6.253253035E+6	5.610945991E+6
10.276210767E+3	360.035800000E+0	1.000000000E-9	5.494625593E-3	11.525483276E-3	38.337040833E-3	6.408339920E-3	7.205630502E-3	7.601661044E-3	5.494625593E+6	11.525483276E+6	38.337040833E+6	6.408339920E+6	7.205630502E+6	7.601661044E+6
10.528318546E+3	359.058800000E+0	1.000000000E-9	5.714305273E-3	12.474838576E-3	41.463931000E-3	7.033349565E-3	7.861856895E-3	7.710467480E-3	5.714305273E+6	12.474838576E+6	41.463931000E+6	7.033349565E+6	7.861856895E+6	7.710467480E+6
10.783712929E+3	358.078800000E+0	1.000000000E-9	6.364520302E-3	13.384512773E-3	45.813540833E-3	7.820657306E-3	8.672574361E-3	5.545934213E-3	6.364520302E+6	13.384512773E+6	45.813540833E+6	7.820657306E+6	8.672574361E+6	5.545934213E+6
11.041481886E+3	357.094900000E+0	1.000000000E-9	6.868763078E-3	14.539049507E-3	46.730566167E-3	8.765101272E-3	9.541277540E-3	10.842814473E-3	6.868763078E+6	14.539049507E+6	46.730566167E+6	8.765101272E+6	9.541277540E+6	10.842814473E+6
11.294534266E+3	356.060100000E+0	1.000000000E-9	6.950089448E-3	15.407970758E-3	52.203279667E-3	9.648041336E-3	10.525080064E-3	8.172374207E-3	6.950089448E+6	15.407970758E+6	52.203279667E+6	9.648041336E+6	10.525080064E+6	8.172374207E+6
11.554784202E+3	355.051800000E+0	1.000000000E-9	7.625141463E-3	16.652636065E-3	53.414032000E-3	10.595899908E-3	11.722142252E-3	13.617140191E-3	7.625141463E+6	16.652636065E+6	53.414032000E+6	10.595899908E+6	11.722142252E+6	13.617140191E+6
11.806836799E+3	354.091400000E+0	1.000000000E-9	8.196736432E-3	17.686700424E-3	59.061441333E-3	11.896729894E-3	13.168263223E-3	11.751188195E-3	8.196736432E+6	17.686700424E+6	59.061441333E+6	11.896729894E+6	13.168263223E+6	11.751188195E+6
12.064364164E+3	353.082200000E+0	1.000000000E-9	8.999672605E-3	18.781926936E-3	63.833825500E-3	13.226019867E-3	14.452701163E-3	12.714266359E-3	8.999672605E+6	18.781926936E+6	63.833825500E+6	13.226019867E+6	14.452701163E+6	12.714266359E+6
12.323135546E+3	352.038300000E+0	1.000000000E-9	9.359331165E-3	20.219595395E-3	67.215003500E-3	14.650570141E-3	16.291449021E-3	16.459599656E-3	9.359331165E+6	20.219595395E+6	67.215003500E+6	14.650570141E+6	16.291449021E+6	16.459599656E+6
12.578358219E+3	351.070000000E+0	1.000000000E-9	8.026502898E-3	18.072522038E-3	72.689437333E-3	16.243505570E-3	16.995577923E-3	16.989047326E-3	8.026502898E+6	18.072522038E+6	72.689437333E+6	16.243505570E+6	16.995577923E+6	16.989047326E+6
12.836012052E+3	350.048200000E+0	1.000000000E-9	10.780150453E-3	23.369287103E-3	78.018054333E-3	18.272139049E-3	19.514209277E-3	18.994422083E-3	10.780150453E+6	23.369287103E+6	78.018054333E+6	18.272139049E+6	19.514209277E+6	18.994422083E+6
13.091986212E+3	349.074500000E+0	1.000000000E-9	11.564922107E-3	25.308219988E-3	82.090993167E-3	20.515120638E-3	21.486851528E-3	23.877144907E-3	11.564922107E+6	25.308219988E+6	82.090993167E+6	20.515120638E+6	21.486851528E+6	23.877144907E+6
13.344961572E+3	348.097300000E+0	1.000000000E-9	12.211467137E-3	26.662626429E-3	85.452998167E-3	22.478349516E-3	24.108225697E-3	30.045538170E-3	12.211467137E+6	26.662626429E+6	85.452998167E+6	22.478349516E+6	24.108225697E+6	30.045538170E+6
13.595687137E+3	347.105300000E+0	1.000000000E-9	13.254131407E-3	29.003044697E-3	93.591958500E-3	25.355882954E-3	26.689031926E-3	30.746438366E-3	13.254131407E+6	29.003044697E+6	93.591958500E+6	25.355882954E+6	26.689031926E+6	30.746438366E+6
13.849084364E+3	346.091500000E+0	1.000000000E-9	14.521805413E-3	30.993965603E-3	100.393031333E-3	28.261346318E-3	29.573407350E-3	34.059912471E-3	14.521805413E+6	30.993965603E+6	100.393031333E+6	28.261346318E+6	29.573407350E+6	34.059912471E+6
14.101344935E+3	345.093900000E+0	1.000000000E-9	15.850843173E-3	33.755154180E-3	106.572658000E-3	31.470732160E-3	32.123040904E-3	39.293416255E-3	15.850843173E+6	33.755154180E+6	106.572658000E+6	31.470732160E+6	32.123040904E+6	39.293416255E+6
14.351496860E+3	344.101000000E+0	1.000000000E-9	16.796355493E-3	35.559475776E-3	117.181799833E-3	35.045289729E-3	35.522085605E-3	39.536432931E-3	16.796355493E+6	35.559475776E+6	117.181799833E+6	35.045289729E+6	35.522085605E+6	39.536432931E+6
14.605958966E+3	343.087000000E+0	1.000000000E-9	17.920365447E-3	38.919709733E-3	122.936977667E-3	39.202071513E-3	38.967865773E-3	47.701560003E-3	17.920365447E+6	38.919709733E+6	122.936977667E+6	39.202071513E+6	38.967865773E+6	47.701560003E+6
14.857674681E+3	342.054600000E+0	1.000000000E-9	12.388337886E-3	25.761913315E-3	135.429309167E-3	42.787299329E-3	42.113026646E-3	47.660903584E-3	12.388337886E+6	25.761913315E+6	135.429309167E+6	42.787299329E+6	42.113026646E+6	47.660903584E+6
15.112342685E+3	341.103900000E+0	1.000000000E-9	14.934415203E-3	33.946491912E-3	139.596110500E-3	47.563103538E-3	46.288985864E-3	60.163988521E-3	14.934415203E+6	33.946491912E+6	139.596110500E+6	47.563103538E+6	46.288985864E+6	60.163988521E+6
15.362787561E+3	340.088300000E+0	1.000000000E-9	7.882020598E-3	17.307503795E-3	156.533367167E-3	51.868363462E-3	50.480036495E-3	58.180138595E-3	7.882020598E+6	17.307503795E+6	156.533367167E+6	51.868363462E+6	50.480036495E+6	58.180138595E+6
15.616419379E+3	339.099000000E+0	1.000000000E-9	23.459988001E-3	51.688135827E-3	170.168031500E-3	58.978337160E-3	57.363085967E-3	59.944476448E-3	23.459988001E+6	51.688135827E+6	170.168031500E+6	58.978337160E+6	57.363085967E+6	59.944476448E+6
15.869223100E+3	338.102000000E+0	1.000000000E-9	26.171102335E-3	55.055793205E-3	192.968579833E-3	65.474886748E-3	61.663655394E-3	49.869361715E-3	26.171102335E+6	55.055793205E+6	192.968579833E+6	65.474886748E+6	61.663655394E+6	49.869361715E+6
16.077839829E+3	337.073900000E+0	1.000000000E-9	28.135065343E-3	61.172381266E-3	218.480481667E-3	71.931932234E-3	68.408878041E-3	299.585327300E-6	28.135065343E+6	61.172381266E+6	218.480481667E+6	71.931932234E+6	68.408878041E+6	299.585327300E+3
16.268195990E+3	336.043400000E+0	1.000000000E-9	30.449445974E-3	65.532040037E-3	236.099505000E-3	78.443705096E-3	74.685375186E-3	447.334145121E-6	30.449445974E+6	65.532040037E+6	236.099505000E+6	78.443705096E+6	74.685375186E+6	447.334145121E+3
16.458702502E+3	335.027400000E+0	1.000000000E-9	32.301554003E-3	69.779143700E-3	255.414125000E-3	86.656207472E-3	81.759181074E-3	424.337958634E-6	32.301554003E+6	69.779143700E+6	255.414125000E+6	86.656207472E+6	81.759181074E+6	424.337958634E+3
16.649001601E+3	334.042600000E+0	1.000000000E-9	35.167558341E-3	75.106492712E-3	276.186255000E-3	95.353002007E-3	89.130150560E-3	459.116586764E-6	35.167558341E+6	75.106492712E+6	276.186255000E+6	95.353002007E+6	89.130150560E+6	459.116586764E+3
16.838346629E+3	333.079800000E+0	1.000000000E-9	38.049210782E-3	81.304306134E-3	298.436691667E-3	103.441129272E-3	94.952771743E-3	514.680103046E-6	38.049210782E+6	81.304306134E+6	298.436691667E+6	103.441129272E+6	94.952771743E+6	514.680103046E+3
17.027380970E+3	332.065300000E+0	1.000000000E-9	40.452799225E-3	87.415125574E-3	323.508543333E-3	112.319219092E-3	104.063823582E-3	590.478242078E-6	40.452799225E+6	87.415125574E+6	323.508543333E+6	112.319219092E+6	104.063823582E+6	590.478242078E+3
17.217646338E+3	331.017400000E+0	1.000000000E-9	44.323087762E-3	95.024689923E-3	350.454096667E-3	122.603398398E-3	111.642388232E-3	610.024454098E-6	44.323087762E+6	95.024689923E+6	350.454096667E+6	122.603398398E+6	111.642388232E+6	610.024454098E+3
17.406812097E+3	330.074500000E+0	1.000000000E-9	48.121563882E-3	101.496377832E-3	379.394976667E-3	131.410212920E-3	120.097109254E-3	613.852415001E-6	48.121563882E+6	101.496377832E+6	379.394976667E+6	131.410212920E+6	120.097109254E+6	613.852415001E+3
17.595829262E+3	329.082700000E+0	1.000000000E-9	45.454894048E-3	119.093722351E-3	411.102088333E-3	140.542438622E-3	133.059050887E-3	828.896492193E-6	45.454894048E+6	119.093722351E+6	411.102088333E+6	140.542438622E+6	133.059050887E+6	828.896492193E+3
17.784827688E+3	328.070000000E+0	1.000000000E-9	55.295331375E-3	120.086139819E-3	445.487288333E-3	153.278910013E-3	139.754068496E-3	847.511740406E-6	55.295331375E+6	120.086139819E+6	445.487288333E+6	153.278910013E+6	139.754068496E+6	847.511740406E+3
17.973871091E+3	327.086600000E+0	1.000000000E-9	60.602742065E-3	129.758220403E-3	483.653510000E-3	164.384673152E-3	148.069601832E-3	887.372908692E-6	60.602742065E+6	129.758220403E+6	483.653510000E+6	164.384673152E+6	148.069601832E+6	887.372908692E+3
18.162702507E+3	326.079200000E+0	1.000000000E-9	65.320758458E-3	140.229481171E-3	525.070896667E-3	176.622171729E-3	157.603801371E-3	993.902527426E-6	65.320758458E+6	140.229481171E+6	525.070896667E+6	176.622171729E+6	157.603801371E+6	993.902527426E+3
18.351789550E+3	325.070700000E+0	1.000000000E-9	72.005602563E-3	149.716963227E-3	569.313331667E-3	188.050381587E-3	167.833612124E-3	1.062781580E-3	72.005602563E+6	149.716963227E+6	569.313331667E+6	188.050381587E+6	167.833612124E+6	1.062781580E+6
18.540608705E+3	324.090600000E+0	1.000000000E-9	76.241787094E-3	163.374340605E-3	619.189573333E-3	199.607469700E-3	177.212393441E-3	1.156171504E-3	76.241787094E+6	163.374340605E+6	619.189573333E+6	199.607469700E+6	177.212393441E+6	1.156171504E+6
18.729577647E+3	323.081700000E+0	1.000000000E-9	82.767474947E-3	177.034366947E-3	673.288063333E-3	211.421849663E-3	186.968864686E-3	1.206527260E-3	82.767474947E+6	177.034366947E+6	673.288063333E+6	211.421849663E+6	186.968864686E+6	1.206527260E+6
18.918281650E+3	322.081700000E+0	1.000000000E-9	89.979666592E-3	191.952354641E-3	731.953933333E-3	223.811676676E-3	194.906827632E-3	1.252858360E-3	89.979666592E+6	191.952354641E+6	731.953933333E+6	223.811676676E+6	194.906827632E+6	1.252858360E+6
19.108259071E+3	321.026200000E+0	1.000000000E-9	96.958806745E-3	206.088301137E-3	796.502578333E-3	235.702054570E-3	205.620006206E-3	1.459787786E-3	96.958806745E+6	206.088301137E+6	796.502578333E+6	235.702054570E+6	205.620006206E+6	1.459787786E+6
19.297394110E+3	320.073000000E+0	1.000000000E-9	106.159150704E-3	224.754288225E-3	866.611178333E-3	246.968371477E-3	214.955797123E-3	1.500950691E-3	106.159150704E+6	224.754288225E+6	866.611178333E+6	246.968371477E+6	214.955797123E+6	1.500950691E+6
19.487614645E+3	319.054000000E+0	1.000000000E-9	115.286637369E-3	244.339899250E-3	943.971436667E-3	258.644670637E-3	223.618489595E-3	1.572065787E-3	115.286637369E+6	244.339899250E+6	943.971436667E+6	258.644670637E+6	223.618489595E+6	1.572065787E+6
19.676366992E+3	318.073500000E+0	1.000000000E-9	127.000439272E-3	264.449328035E-3	1.028801083E+0	267.031858550E-3	232.981410012E-3	1.567177261E-3	127.000439272E+6	264.449328035E+6	1.028801083E+9	267.031858550E+6	232.981410012E+6	1.567177261E+6
19.865140358E+3	317.088700000E+0	1.000000000E-9	136.776989958E-3	288.273268692E-3	1.121594617E+0	279.855741409E-3	240.068098255E-3	2.039687131E-3	136.776989958E+6	288.273268692E+6	1.121594617E+9	279.855741409E+6	240.068098255E+6	2.039687131E+6
20.053915448E+3	316.083600000E+0	1.000000000E-9	149.884815565E-3	313.670183010E-3	1.225311467E+0	289.038935533E-3	247.883353945E-3	2.254135821E-3	149.884815565E+6	313.670183010E+6	1.225311467E+9	289.038935533E+6	247.883353945E+6	2.254135821E+6
20.243098892E+3	315.046000000E+0	1.000000000E-9	161.030118095E-3	338.524121647E-3	1.327640550E+0	300.856238898E-3	253.191045535E-3	5.059367918E-3	161.030118095E+6	338.524121647E+6	1.327640550E+9	300.856238898E+6	253.191045535E+6	5.059367918E+6
20.440270278E+3	314.062300000E+0	1.000000000E-9	171.566970602E-3	357.744785489E-3	1.418771950E+0	309.796445146E-3	259.042796415E-3	19.718536273E-3	171.566970602E+6	357.744785489E+6	1.418771950E+9	309.796445146E+6	259.042796415E+6	19.718536273E+6
20.644017501E+3	313.041000000E+0	1.000000000E-9	182.697772268E-3	387.808919398E-3	1.500074533E+0	320.957501465E-3	269.812796260E-3	45.222665841E-3	182.697772268E+6	387.808919398E+6	1.500074533E+9	320.957501465E+6	269.812796260E+6	45.222665841E+6
